CrossCut,CrossCut_New
Economic growth,Economy
Energy,Energy
Poverty,Poverty
Indigenous values and knowledge,ILK
Equity,Equity
Soil,Land
NA,NA
Employment,Employment
Other,NA
Soil (erosion),Land
Education,Education
Mining,Mining
Waste,Waste
peace,Armed Conflict
transport,Infrastructure
trade,Trade
resources consumption,Consumption
justice,Justice
strong institutions,NA
urbanisation,Urbanisation
gender,Gender
Land,Land
Social inclusion,Equity
capital,Economy
Land use (deforestation),Land
Political security,Politics and Democracy
Gender,Gender
human-rights,Civil Rights
Land cover,Land
Safety,Security
Trade,Trade
"""Land""",Land
Security,Security
procedural justice,Justice
Political instability,Politics and Democracy
Tourism,Tourism
resilience,Resilience
social cohesion,Social Cohesion
Soi,NA
Power relations,Power Dynamics
Emergency response,Disaster Recovery
Infrastructure,Infrastructure
Public health,NA
Flood recovery,Disaster Recovery
population growth,Population Growth
corruption,Corruption
Livelihoods,Livelihoods
,NA
Urbanization,Urbanisation
migration,Migration
Land use,Land
power dynamics,Power Dynamics
services,Infrastructure
Land and tourism,Land
Waster,Waste
Transport,Infrastructure
Technology,Technology
Conflicts,NA
civil rights,Civil Rights
democracy,Politics and Democracy
rule of law,Rule of Law
Migration,Migration
LULC,Land
livelihoods,Livelihoods
Policyscape (policy landscape),Politics and Democracy
